Date,Open,High,Low,Close,Adj Close,Volume
2004-06-17,90.500000,90.559998,90.070000,90.440002,59.063843,4180200
2004-06-18,90.199997,90.800003,89.900002,90.059998,58.815681,6470800
2004-06-21,90.400002,90.430000,89.309998,89.489998,58.443439,3843400
2004-06-22,89.279999,90.239998,89.129997,90.019997,58.789574,4149300
2004-06-23,90.099998,90.839996,89.839996,90.790001,59.292427,4354700
2004-06-24,90.279999,90.919998,89.839996,89.989998,58.769966,4069400
2004-06-25,89.949997,90.230003,88.940002,89.550003,58.482635,5604700
2004-06-28,89.709999,89.900002,88.360001,88.709999,57.934052,4423200
2004-06-29,88.349998,88.489998,87.900002,88.290001,57.659744,4394800
2004-06-30,88.300003,88.500000,87.699997,88.150002,57.568306,4724000
2004-07-01,88.279999,88.440002,86.570000,87.500000,57.143829,5093900
2004-07-02,87.449997,87.550003,86.599998,87.040001,56.843418,2874500
2004-07-06,86.500000,86.730003,85.129997,85.699997,55.968296,6408100
2004-07-07,85.300003,85.940002,85.050003,85.349998,55.739712,5677300
2004-07-08,85.000000,85.010002,83.580002,83.650002,54.629501,7529000
2004-07-09,84.400002,84.500000,83.510002,83.889999,54.786240,6595200
2004-07-12,84.000000,85.250000,83.419998,84.099998,54.923378,6009200
2004-07-13,85.900002,86.089996,85.199997,85.250000,55.674397,6001000
2004-07-14,84.839996,85.239998,83.779999,84.129997,54.942974,6298600
2004-07-15,84.129997,84.629997,83.610001,84.019997,54.871120,7086500
2004-07-16,86.050003,86.480003,84.279999,84.279999,55.040951,10441400
2004-07-19,84.500000,85.849998,84.400002,85.300003,55.707077,6596000
2004-07-20,85.629997,86.489998,85.300003,86.360001,56.399330,5651300
2004-07-21,86.750000,87.110001,85.300003,85.300003,55.707077,5534000
2004-07-22,85.000000,86.400002,84.680000,86.059998,56.203392,5972600
2004-07-23,85.699997,86.059998,84.500000,84.849998,55.413189,4309400
2004-07-26,84.849998,85.580002,84.510002,85.089996,55.569908,4517500
2004-07-27,85.599998,86.300003,85.449997,85.879997,56.085861,4098500
2004-07-28,85.879997,86.279999,84.879997,85.849998,56.066254,6566200
2004-07-29,86.250000,87.220001,86.230003,86.769997,56.667091,4232300
2004-07-30,86.449997,87.400002,86.389999,87.070000,56.863003,3508500
2004-08-02,86.870003,87.389999,86.419998,86.690002,56.614826,3408400
2004-08-03,86.699997,86.800003,85.440002,85.709999,55.974823,4147200
2004-08-04,85.300003,86.650002,85.250000,85.970001,56.144604,4160600
2004-08-05,85.970001,86.419998,85.010002,85.190002,55.635239,3879900
2004-08-06,84.379997,84.760002,83.419998,83.480003,54.633907,5219200
2004-08-09,83.480003,83.959999,82.870003,83.550003,54.679718,3621100
2004-08-10,84.000000,84.989998,83.809998,84.989998,55.622128,4351000
2004-08-11,83.699997,83.980003,83.099998,83.690002,54.771362,5288000
2004-08-12,83.050003,83.050003,81.900002,82.209999,53.802757,7134900
